id,POI/street
0,"/s. par"
1,"/angg per"
2,"/asma laundry mand imog"
3,"/ud agung rejeki raya nga sri"
4,"/cut mutia"
5,"/pempek dos dapur alalak perum gar"
6,"tb. mara/"
7,"pura taman beji sukamaju/"
8,"tk pam/"
9,"/raya won"
10,"/tebet raya"
11,"/kemur viii"
12,"kimia farma/"
13,"/warung bakso latansa kota"
14,"/toko teddy raya pan jakat"
15,"/slb bina ban raya sawunggaling"
16,"/dimas laundry demak jl tanjung ii"
17,"/waroeng barokah batik ayu 3"
18,"/pasar pagi raya"
19,"/skechers foto sukam"
20,"/gg. damai 1"
21,"/kb bupati tk ser aswan"
22,"/gg. pan"
23,"/tebet barat vi"
24,"/gad kir timur vi"
25,"taman awirarangan/"
26,"/raya bant"
27,"/pulo mas barat vi"
28,"jembatan merah putih/"
29,"/ki ageng peman"
30,"/lembaga bimbingan belajar ganesha jenderal ahmad yani"
31,"/komplek griya asri mandiri jl.engku motik"
32,"/gg. mah"
33,"/pab"
34,"/star barat iii"
35,"/museum pos indonesia taman cib"
36,"/bank negara indonesia kali a. t. hary"
37,"/ged hijau viii"
38,"komplek puri citra/"
39,"/raya setu cibi - bek"
40,"/ruko greatwall jl abu"
41,"/rogo kiosk"
42,"/letj supr"
43,"/mand sela iii"
44,"/komplek karya permai jl. letjen sutoyo"
45,"/"
46,"/parung-"
47,"/"
48,"cv pondok cibulakan/"
49,"/vete"
50,"/raden saleh raya"
51,"/bhin karya"
52,"masjid nurul huda/"
53,"/mahk rege"
54,"/jend sudi"
55,"/ayam bakar laningrum taman hara baru"
56,"/aka ivc"
57,"/kh. wahid has"
58,"sendang pancur/"
59,"/raya kapas"
60,"/pal xi"
61,"/cibi"
62,"/langgar stasi hidayatul ummah mast"
63,"/kawat i"
64,"/lele"
65,"/jamba"
66,"/perw"
67,"/pulau bida"
68,"/par sarpo i"
69,"/desa ken"
70,"zona kiev/"
71,"/ud keadilan candra raya kapal"
72,"/derm alib"
73,"lebak jero/"
74,"/mla iii"
75,"/"
76,"/aneka lilin pan indah kapuk boule"
77,"/mannu"
78,"/klam jaya"
79,"/can men v b"
80,"/kapas utara vi"
81,"/komo halim perd kus"
82,"/"
83,"/gg. wono"
84,"/"
85,"/pempek palembang musi raya matr raya"
86,"/roti bakar bandung pak budi jend sudi"
87,"perumahan wahana/"
88,"/crystal computer taman raya imam muna"
89,"/gg. buntu"
90,"/koperasi simpan pinjam sinar pelita pelab"
91,"/bun raya per"
92,"/kenc utama ii"
93,"/kali dha vi"
94,"/gg. 3 h. asmat"
95,"/20 dese"
96,"/nila"
97,"/pasar kec raya pasar kec"
98,"/smk thoriqul lin ren tembilahan"
99,"/"
100,"/tiki bule utara kelapa gad"
101,"/sate"
102,"/"
103,"cafe fun frozzen/"
104,"/pudak"
105,"/tham 5"
106,"/gg. sidol"
107,"/potong on cell pasu"
108,"/lat sim"
109,"/sutra putih marg"
110,"/"
111,"/tan jaya 1"
112,"/pet bin ii"
113,"sd negeri 3 mudi/"
114,"/mel 2"
115,"/martabak pekerja mand raya"
116,"/raya sambi"
117,"/ade cell maos raya maos kidul"
118,"/taman nyiur 12"
119,"tk teratai banua/"
120,"/dok wahi sud hus"
121,"/jalan affa"
122,"/monu sae sae"
123,"/terapi miroso plus 8 a3 box beng"
124,"/raya bek"
125,"/jo"
